p	invgam	alpha	pinvgam
.5	.0	.0001		.0
0.5	.0	.0001		.0
.5	.0	.0006		.0
0.5	.0	.0006		.0
.5	.0	.001		.0
0.5	.0	.001		.0
.5	.380005E-50	.006		.500000
0.5	.380005E-50	.006		.500000
.5	.446554E-30	.01		.500000
0.5	.446554E-30	.01		.500000
.5	.566218E-5	.06		.500000
0.5	.566218E-5	.06		.500000
.5	.593391E-3	.1		.500000
0.5	.593391E-3	.1		.500000
.5	.315702	.6		.500000
0.5	.315702	.6		.500000
.5	.693147	1.		.500000
0.5	.693147	1.		.500000
.5	5.67016	6.		.500000
0.5	5.67016	6.		.500000
.5	9.66871	10.		.499999
0.5	9.66871	10.		.499999
.5	14.6680	15.		.499998
0.5	14.6680	15.		.499998
.5	59.6670	60.		.500000
0.5	59.6670	60.		.500000
.5	60.6670	61.		.500000
0.5	60.6670	61.		.500000
.5	99.6669	100.		.500001
0.5	99.6669	100.		.500001
.5	129.667	130.		.500006
0.5	129.667	130.		.500006
.5	599.667	600.		.500005
0.5	599.667	600.		.500005
.5	652.667	653.		.500005
0.5	652.667	653.		.500005
.5	999.667	1000.		.500004
0.5	999.667	1000.		.500004
.5	1946.67	1947.		.500030
0.5	1946.67	1947.		.500030
.5	5999.67	6000.		.500017
0.5	5999.67	6000.		.500017
.5	6170.67	6171.		.500017
0.5	6170.67	6171.		.500017
.5	9999.67	10000.		.500013
0.5	9999.67	10000.		.500013
.5	17021.7	17022.		.500102
0.5	17021.7	17022.		.500102
.5	59999.7	60000.		.500054
0.5	59999.7	60000.		.500054
.5	62263.7	62264.		.500053
0.5	62263.7	62264.		.500053
.417172	.0	.0001		.0
0.582828	.0	.0001		.0
.417172	.0	.0006		.0
0.582828	.0	.0006		.0
.417172	.0	.001		.0
0.582828	.0	.001		.0
.417172	.295561E-63	.006		.417172
0.582828	.472995E-39	.006		.582828
.417172	.608679E-38	.01		.417172
0.582828	.202728E-23	.01		.582828
.417172	.276737E-6	.06		.417172
0.582828	.728648E-4	.06		.582828
.417172	.969609E-4	.1		.417172
0.582828	.275358E-2	.1		.582828
.417172	.220832	.6		.417172
0.582828	.436703	.6		.582828
.417172	.539863	1.		.417172
0.582828	.874257	1.		.582828
.417172	5.18905	6.		.417173
0.582828	6.18029	6.		.582827
.417172	9.03476	10.		.417171
0.582828	10.3317	10.		.582823
.417172	12.9110	14.		.417172
0.582828	14.4543	14.		.582825
.417172	58.0669	60.		.417175
0.582828	61.2963	60.		.582829
.417172	59.0534	61.		.417174
0.582828	62.3098	61.		.582829
.417172	97.5941	100.		.417170
0.582828	101.769	100.		.582838
.417172	105.512	108.		.417174
0.582828	109.851	108.		.582831
.417172	594.560	600.		.417168
0.582828	604.802	600.		.582823
.417172	632.400	638.		.417165
0.582828	642.962	638.		.582826
.417172	993.069	1000.		.417170
0.582828	1006.29	1000.		.582787
.417172	1269.21	1277.		.417183
0.582828	1284.15	1277.		.582789
.417172	5983.48	6000.		.417160
0.582828	6015.88	6000.		.582827
.417172	6350.99	6368.		.417158
0.582828	6384.37	6368.		.582830
.417172	9978.77	10000.		.417179
0.582828	10020.6	10000.		.582851
.417172	19804.2	19834.		.417093
0.582828	19863.1	19834.		.582734
.417172	59948.5	60000.		.417245
0.582828	60050.9	60000.		.582815
.417172	65299.2	65353.		.417144
0.582828	65406.1	65353.		.582760
.4	.0	.0001		.0
0.6	.0	.0001		.0
.4	.0	.0006		.0
0.6	.0	.0006		.0
.4	.0	.001		.0
0.6	.0	.001		.0
.4	.267991E-66	.006		.400000
0.6	.597948E-37	.006		.600000
.4	.909646E-40	.01		.400000
0.6	.369827E-22	.01		.600000
.4	.137345E-6	.06		.400000
0.6	.118227E-3	.06		.600000
.4	.636842E-4	.1		.400000
0.6	.368445E-2	.1		.600000
.4	.203823	.6		.400000
0.6	.465909	.6		.600000
.4	.510826	1.		.400000
0.6	.916291	1.		.600000
.4	5.09099	6.		.400001
0.6	6.29192	6.		.600000
.4	8.90441	10.		.399999
0.6	10.4757	10.		.600002
.4	15.6565	17.		.399999
0.6	17.7219	17.		.599999
.4	57.7323	60.		.400001
0.6	61.6445	60.		.600000
.4	63.6362	66.		.400002
0.6	67.7405	66.		.599998
.4	97.1597	100.		.400001
0.6	102.217	100.		.600006
.4	172.331	176.		.400005
0.6	179.046	176.		.600014
.4	593.484	600.		.399994
0.6	605.892	600.		.600003
.4	671.093	678.		.399997
0.6	684.283	678.		.600000
.4	991.678	1000.		.399999
0.6	1007.70	1000.		.600023
.4	1810.88	1822.		.400044
0.6	1832.50	1822.		.599991
.4	5980.06	6000.		.399977
0.6	6019.31	6000.		.599992
.4	6130.82	6151.		.400004
0.6	6170.56	6151.		.600015
.4	9974.35	10000.		.399985
0.6	10025.0	10000.		.599914
.4	16221.4	16254.		.400034
0.6	16286.0	16254.		.600039
.4	59937.6	60000.		.399951
0.6	60061.7	60000.		.599929
.4	63082.0	63146.		.399962
0.6	63209.4	63146.		.600075
.37022	.0	.0001		.0
0.62978	.0	.0001		.0
.37022	.0	.0006		.0
0.62978	.0	.0006		.0
.37022	.0	.001		.0
0.62978	.0	.001		.0
.37022	.673134E-72	.006		.370220
0.62978	.191837E-33	.006		.629780
.37022	.397064E-43	.01		.370220
0.62978	.469634E-20	.01		.629780
.37022	.378279E-7	.06		.370220
0.62978	.265097E-3	.06		.629780
.37022	.293777E-4	.1		.370220
0.62978	.599320E-2	.1		.629780
.37022	.176239	.6		.370220
0.62978	.520619	.6		.629780
.37022	.462385	1.		.370220
0.62978	.993658	1.		.629780
.37022	4.92123	6.		.370221
0.62978	6.49189	6.		.629779
.37022	8.67778	10.		.370220
0.62978	10.7326	10.		.629780
.37022	11.5280	13.		.370223
0.62978	13.8815	13.		.629781
.37022	57.1457	60.		.370218
0.62978	62.2614	60.		.629781
.37022	65.9594	69.		.370219
0.62978	71.4476	69.		.629779
.37022	96.3971	100.		.370221
0.62978	103.010	100.		.629787
.37022	146.638	151.		.370226
0.62978	154.769	151.		.629782
.37022	591.591	600.		.370213
0.62978	607.815	600.		.629778
.37022	631.325	640.		.370217
0.62978	648.081	640.		.629775
.37022	989.230	1000.		.370225
0.62978	1010.18	1000.		.629816
.37022	1592.43	1606.		.370228
0.62978	1618.98	1606.		.629805
.37022	5974.04	6000.		.370201
0.62978	6025.36	6000.		.629768
.37022	6757.42	6785.		.370234
0.62978	6811.99	6785.		.629782
.37022	9966.58	10000.		.370232
0.62978	10032.8	10000.		.629668
.37022	19268.7	19315.		.370317
0.62978	19360.7	19315.		.629665
.37022	59918.6	60000.		.370283
0.62978	60080.8	60000.		.629707
.37022	68611.9	68699.		.370255
0.62978	68785.5	68699.		.629736
.3	.0	.0001		.0
0.7	.0	.0001		.0
.3	.0	.0006		.0
0.7	.0	.0006		.0
.3	.0	.001		.0
0.7	.0	.001		.0
.3	.402715E-87	.006		.300000
0.7	.859928E-26	.006		.700000
.3	.291742E-52	.01		.300000
0.7	.183095E-15	.01		.700000
.3	.113632E-8	.06		.300000
0.7	.154554E-2	.06		.700000
.3	.358609E-5	.1		.300000
0.7	.174278E-1	.1		.700000
.3	.119989	.6		.300000
0.7	.674748	.6		.700000
.3	.356675	1.		.300000
0.7	1.20397	1.		.699999
.3	4.51714	6.		.300000
0.7	7.00555	6.		.700000
.3	8.13293	10.		.300000
0.7	11.3873	10.		.700003
.3	15.5576	18.		.299999
0.7	19.9610	18.		.700001
.3	55.7093	60.		.300001
0.7	63.8080	60.		.700002
.3	61.5104	66.		.300000
0.7	70.0068	66.		.700001
.3	94.5243	100.		.300000
0.7	104.993	100.		.700010
.3	167.829	175.		.300009
0.7	181.688	175.		.699995
.3	586.917	600.		.299997
0.7	612.599	600.		.699993
