p	invchi	df	pinvchi	
.5	.454936	1	.500000
0.5	.454936	1	.500000
.5	5.34812	6	.500000
0.5	5.34812	6	.500000
.5	9.34182	10	.500000
0.5	9.34182	10	.500000
.5	14.3389	15	.500003
0.5	14.3389	15	.500003
.5	59.3347	60	.500001
0.5	59.3347	60	.500001
.5	60.3346	61	.499998
0.5	60.3346	61	.499998
.5	99.3341	100	.499999
0.5	99.3341	100	.499999
.5	129.334	130	.500001
0.5	129.334	130	.500001
.5	599.333	600	.499995
0.5	599.333	600	.499995
.5	652.333	653	.499995
0.5	652.333	653	.499995
.5	999.333	1000	.499996
0.5	999.333	1000	.499996
.5	1946.33	1947	.499978
0.5	1946.33	1947	.499978
.5	5999.33	6000	.499988
0.5	5999.33	6000	.499988
.5	6170.33	6171	.499988
0.5	6170.33	6171	.499988
.5	9999.33	10000	.499991
0.5	9999.33	10000	.499991
.5	17021.3	17022	.499928
0.5	17021.3	17022	.499928
.5	59999.3	60000	.499962
0.5	59999.3	60000	.499962
.5	62263.3	62264	.499962
0.5	62263.3	62264	.499962
.417172	.301685	1	.417172
0.582828	.658268	1	.582828
.417172	4.69998	6	.417173
0.582828	6.05397	6	.582828
.417172	8.47206	10	.417172
0.582828	10.2695	10	.582824
.417172	12.2925	14	.417175
0.582828	14.4442	14	.582831
.417172	57.0876	60	.417171
0.582828	61.6400	60	.582829
.417172	58.0685	61	.417173
0.582828	62.6591	61	.582829
.417172	96.4171	100	.417171
0.582828	102.309	100	.582816
.417172	104.301	108	.417183
0.582828	110.426	108	.582833
.417172	592.123	600	.417176
0.582828	606.603	600	.582833
.417172	629.897	638	.417176
0.582828	644.829	638	.582833
.417172	990.013	1000	.417168
0.582828	1008.71	1000	.582813
.417172	1265.80	1277	.417197
0.582828	1286.93	1277	.582841
.417172	5976.45	6000	.417156
0.582828	6022.27	6000	.582826
.417172	6343.76	6368	.417164
0.582828	6390.96	6368	.582819
.417172	9969.79	10000	.417178
0.582828	10028.9	10000	.582725
.417172	19791.7	19834	.417151
0.582828	19875.0	19834	.582800
.417172	59926.9	60000	.417153
0.582828	60071.8	60000	.582819
.417172	65276.8	65353	.417221
0.582828	65428.0	65353	.582860
.4	.274996	1	.400000
0.6	.708326	1	.600000
.4	4.57015	6	.399999
0.6	6.21076	6	.600000
.4	8.29547	10	.400000
0.6	10.4732	10	.599997
.4	14.9373	17	.400002
0.6	17.8244	17	.600001
.4	56.6200	60	.400000
0.6	62.1348	60	.599999
.4	62.4836	66	.400001
0.6	68.2710	66	.600000
.4	95.8078	100	.399999
0.6	102.946	100	.600001
.4	170.634	176	.400005
0.6	180.119	176	.599993
.4	590.606	600	.400004
0.6	608.147	600	.600002
.4	668.052	678	.399997
0.6	686.700	678	.599998
.4	988.051	1000	.400004
0.6	1010.70	1000	.599984
.4	1806.09	1822	.400026
0.6	1836.67	1822	.600023
.4	5971.63	6000	.400017
0.6	6027.13	6000	.600010
.4	6122.28	6151	.400007
0.6	6178.47	6151	.599985
.4	9963.55	10000	.400003
0.6	10035.2	10000	.599991
.4	16207.7	16254	.400003
0.6	16299.1	16254	.600100
.4	59911.6	60000	.399984
0.6	60087.1	60000	.599958
.4	63055.3	63146	.399953
0.6	63235.4	63146	.599990
.37022	.232359	1	.370220
0.62978	.802926	1	.629780
.37022	4.34736	6	.370221
0.62978	6.49362	6	.629780
.37022	7.99035	10	.370220
0.62978	10.8387	10	.629778
.37022	10.7736	13	.370223
0.62978	14.0516	13	.629780
.37022	55.8021	60	.370221
0.62978	63.0135	60	.629782
.37022	64.5377	69	.370221
0.62978	72.2775	69	.629779
.37022	94.7403	100	.370219
0.62978	104.074	100	.629776
.37022	144.665	151	.370226
0.62978	156.149	151	.629774
.37022	587.938	600	.370216
0.62978	610.875	600	.629782
.37022	627.562	640	.370222
0.62978	651.251	640	.629776
.37022	984.597	1000	.370217
0.62978	1014.22	1000	.629815
.37022	1586.64	1606	.370244
0.62978	1624.18	1606	.629802
.37022	5963.12	6000	.370220
0.62978	6035.69	6000	.629769
.37022	6745.82	6785	.370224
0.62978	6822.99	6785	.629767
.37022	9952.56	10000	.370221
0.62978	10046.3	10000	.629904
.37022	19249.3	19315	.370224
0.62978	19379.5	19315	.629752
.37022	59884.7	60000	.370273
0.62978	60114.2	60000	.629822
.37022	68575.6	68699	.370205
0.62978	68821.2	68699	.629781
.3	.148472	1	.300000
0.7	1.07419	1	.699999
.3	3.82755	6	.300000
0.7	7.23114	6	.700000
.3	7.26722	10	.300000
0.7	11.7807	10	.699998
.3	14.4399	18	.300003
0.7	20.6014	18	.700002
.3	53.8091	60	.299999
0.7	65.2265	60	.700000
.3	59.5270	66	.300001
0.7	71.5085	66	.700001
.3	92.1289	100	.299999
0.7	106.906	100	.700006
.3	164.727	175	.299993
0.7	184.307	175	.700005
.3	581.362	600	.299997
0.7	617.671	600	.699998
.3	638.504	658	.300000
0.7	676.529	658	.699995
.3	976.074	1000	.300003
0.7	1022.96	1000	.700001
.3	1360.88	1389	.299969
0.7	1416.15	1389	.700008
.3	5942.08	6000	.300016
0.7	6056.96	6000	.700005
.3	6295.40	6355	.300000
0.7	6413.63	6355	.699990
.3	9925.36	10000	.300005
0.7	10073.7	10000	.700060
.3	11920.3	12002	.300062
0.7	12082.8	12002	.700088
.3	59817.9	60000	.300040
0.7	60181.2	60000	.700027
.3	68074.7	68269	.299956
0.7	68462.3	68269	.700012
.22264	.799538E-1	1	.222640
0.77736	1.48727	1	.777359
.22264	3.24629	6	.222640
0.77736	8.21689	6	.777360
.22264	6.43644	10	.222640
0.77736	13.0185	10	.777361
.22264	9.79014	14	.222640
0.77736	17.6614	14	.777360
.22264	51.4108	60	.222640
0.77736	68.0345	60	.777359
.22264	55.1349	64	.222639
0.77736	72.3103	64	.777360
.22264	88.9660	100	.222640
0.77736	110.479	100	.777368
.22264	181.598	197	.222636
0.77736	211.846	197	.777363
.22264	573.296	600	.222642
0.77736	626.148	600	.777361
.22264	585.033	612	.222644
0.77736	638.411	612	.777359
.22264	965.598	1000	.222641
0.77736	1033.85	1000	.777387
.22264	1174.15	1212	.222627
0.77736	1249.29	1212	.777351
.22264	5916.11	6000	.222638
0.77736	6083.33	6000	.777352
.22264	6867.68	6958	.222635
0.77736	7047.76	6958	.777356
.22264	9891.78	10000	.222645
0.77736	10107.7	10000	.777431
.22264	17231.4	17374	.222579
0.77736	17516.0	17374	.777351
.22264	59735.3	60000	.222635
0.77736	60264.1	60000	.777328
.22264	63816.4	64090	.222605
0.77736	64363.0	64090	.777359
.2	.641848E-1	1	.200000
0.8	1.64237	1	.799999
.2	3.07009	6	.200000
0.8	8.55806	6	.800000
.2	6.17908	10	.200000
0.8	13.4420	10	.800002
.2	12.0023	17	.200002
0.8	21.6146	17	.800002
.2	50.6406	60	.199999
0.8	68.9721	60	.800001
.2	57.1147	67	.200001
0.8	76.4978	67	.799999
.2	87.9453	100	.199999
0.8	111.667	100	.800005
.2	178.215	195	.200001
0.8	211.397	195	.800004
.2	570.668	600	.200000
0.8	628.943	600	.799998
.2	572.619	602	.199996
0.8	630.992	602	.800001
.2	962.180	1000	.199998
0.8	1037.43	1000	.799995
.2	1274.61	1318	.200019
0.8	1361.00	1318	.799975
.2	5907.62	6000	.200010
0.8	6092.00	6000	.800012
.2	6657.98	6756	.200001
0.8	6853.63	6756	.799996
.2	9880.79	10000	.200007
0.8	10118.8	10000	.799952
.2	12296.1	12429	.199972
0.8	12561.5	12429	.800008
.2	59708.3	60000	.200032
0.8	60291.4	60000	.800040
.2	65589.3	65895	.200020
0.8	66200.3	65895	.799972
.149475	.355129E-1	1	.149475
0.850525	2.07760	1	.850525
.149475	2.65678	6	.149475
0.850525	9.45671	6	.850525
.149475	5.56327	10	.149475
0.850525	14.5469	10	.850525
.149475	5.56327	10	.149475
0.850525	14.5469	10	.850525
.149475	48.7372	60	.149476
0.850525	71.3688	60	.850525
.149475	56.9093	69	.149474
0.850525	81.1965	69	.850524
.149475	85.4119	100	.149475
0.850525	114.694	100	.850529
.149475	114.282	131	.149469
0.850525	147.823	131	.850523
.149475	564.091	600	.149474
0.850525	636.014	600	.850524
.149475	568.941	605	.149472
0.850525	641.164	605	.850526
.149475	953.616	1000	.149473
0.850525	1046.49	1000	.850531
.149475	1385.30	1441	.149457
0.850525	1496.80	1441	.850521
.149475	5886.28	6000	.149483
0.850525	6113.83	6000	.850527
.149475	6792.91	6915	.149480
0.850525	7037.20	6915	.850530
.149475	9853.16	10000	.149467
0.850525	10146.9	10000	.850459
.149475	15537.9	15722	.149513
0.850525	15906.2	15722	.850481
.149475	59640.2	60000	.149446
0.850525	60359.9	60000	.850550
.149475	60824.7	61188	.149476
0.850525	61551.4	61188	.850520
.1	.157908E-1	1	.100000
0.9	2.70554	1	.900000
.1	2.20413	6	.999999E-1
0.9	10.6446	6	.899999
.1	4.86518	10	.999999E-1
0.9	15.9872	10	.900001
.1	8.54676	15	.100000
0.9	22.3071	15	.899999
.1	46.4589	60	.100000
0.9	74.3970	60	.900000
.1	48.2257	62	.999999E-1
0.9	76.6302	62	.900000
.1	82.3581	100	.999995E-1
0.9	118.498	100	.900000
.1	127.349	149	.999965E-1
0.9	171.507	149	.900000
.1	556.056	600	.100000
0.9	644.800	600	.899998
.1	578.213	623	.100002
0.9	668.644	623	.900001
.1	943.133	1000	.100002
0.9	1057.72	1000	.899985
.1	1406.81	1476	.999913E-1
0.9	1546.04	1476	.899988
.1	5860.05	6000	.100003
0.9	6140.81	6000	.900003
.1	6261.38	6406	.100006
0.9	6551.48	6406	.899999
.1	9819.19	10000	.999939E-1
0.9	10181.7	10000	.900047
.1	18481.4	18729	.100000
0.9	18977.5	18729	.900039
.1	59556.5	60000	.100006
0.9	60444.4	60000	.900016
.1	63810.0	64269	.100017
0.9	64728.9	64269	.900005
.0912469	.131358E-1	1	.912469E-1
0.9087531	2.85224	1	.908753
.0912469	2.11573	6	.912470E-1
0.9087531	10.9085	6	.908754
.0912469	4.72536	10	.912468E-1
0.9087531	16.3043	10	.908753
.0912469	6.86945	13	.912467E-1
0.9087531	20.1619	13	.908754
.0912469	45.9847	60	.912472E-1
0.9087531	75.0506	60	.908753
.0912469	48.6224	63	.912474E-1
0.9087531	78.4129	63	.908752
.0912469	81.7194	100	.912466E-1
0.9087531	119.316	100	.908751
.0912469	85.3450	104	.912468E-1
0.9087531	123.691	104	.908756
.0912469	554.360	600	.912473E-1
0.9087531	646.676	600	.908752
.0912469	569.748	616	.912472E-1
0.9087531	663.288	616	.908752
.0912469	940.917	1000	.912482E-1
0.9087531	1060.12	1000	.908755
.0912469	1448.98	1522	.912443E-1
0.9087531	1596.06	1522	.908766
.0912469	5854.49	6000	.912474E-1
0.9087531	6146.55	6000	.908758
.0912469	6542.25	6696	.912446E-1
0.9087531	6850.78	6696	.908747
.0912469	9811.99	10000	.912439E-1
0.9087531	10189.0	10000	.908703
.0912469	10773.1	10970	.912916E-1
0.9087531	11168.0	10970	.908779
.0912469	59538.7	60000	.912395E-1
0.9087531	60462.3	60000	.908743
.0912469	63531.5	64008	.912283E-1
0.9087531	64485.5	64008	.908755
.09	.127777E-1	1	.900000E-1
0.91	2.87437	1	.910000
.09	2.10286	6	.900005E-1
0.91	10.9479	6	.910000
.09	4.70489	10	.899999E-1
0.91	16.3516	10	.910000
.09	9.84460	17	.899999E-1
0.91	25.2150	17	.910000
.09	45.9147	60	.899998E-1
0.91	75.1477	60	.910000
.09	47.6708	62	.900001E-1
0.91	77.3917	62	.910000
.09	81.6251	100	.900002E-1
0.91	119.438	100	.910002
.09	112.630	134	.900029E-1
0.91	156.433	134	.909997
.09	554.109	600	.900002E-1
0.91	646.954	600	.909998
.09	575.265	622	.900013E-1
0.91	669.799	622	.910001
.09	940.589	1000	.900013E-1
0.91	1060.47	1000	.909983
.09	1229.26	1297	.899983E-1
0.91	1365.80	1297	.909991
.09	5853.67	6000	.900053E-1
0.91	6147.40	6000	.910004
.09	6153.99	6304	.899978E-1
0.91	6455.07	6304	.909997
.09	9810.93	10000	.900048E-1
0.91	10190.1	10000	.909957
.09	18611.1	18871	.900310E-1
0.91	19132.0	18871	.910000
.09	59536.1	60000	.900081E-1
0.91	60465.0	60000	.910009
.09	59900.7	60366	.900149E-1
0.91	60832.4	60366	.910002
.0808389	.103003E-1	1	.808388E-1
0.9191611	3.04795	1	.919161
.0808389	2.00584	6	.808393E-1
0.9191611	11.2539	6	.919161
.0808389	4.54972	10	.808392E-1
