p	invt	df	pinvt
0.5	.0	1	.500000
.5	-.0	1	.500000
0.5	.0	6	.500000
.5	-.0	6	.500000
0.5	.0	10	.500000
.5	-.0	10	.500000
0.5	.0	15	.500000
.5	-.0	15	.500000
0.5	.0	60	.500000
.5	-.0	60	.500000
0.5	.0	61	.500000
.5	-.0	61	.500000
0.5	.0	100	.500000
.5	-.0	100	.500000
0.5	.0	130	.500000
.5	-.0	130	.500000
0.5	.0	600	.500000
.5	-.0	600	.500000
0.5	.0	653	.500000
.5	-.0	653	.500000
0.5	.0	1000	.500000
.5	-.0	1000	.500000
0.5	.0	1947	.500000
.5	-.0	1947	.500000
0.5	.0	6000	.500000
.5	-.0	6000	.500000
0.5	.0	6171	.500000
.5	-.0	6171	.500000
0.5	.0	10000	.500000
.5	-.0	10000	.500000
0.5	.0	17022	.500000
.5	-.0	17022	.500000
0.5	.0	60000	.500000
.5	-.0	60000	.500000
0.5	.0	62264	.500000
.5	-.0	62264	.500000
0.582828	.266248	1	.582828
.417172	-.266248	1	.417172
0.582828	.218417	6	.582828
.417172	-.218417	6	.417172
0.582828	.214663	10	.582828
.417172	-.214663	10	.417172
0.582828	.213070	14	.582828
.417172	-.213070	14	.417172
0.582828	.210045	60	.582828
.417172	-.210045	60	.417172
0.582828	.210030	61	.582828
.417172	-.210030	61	.417172
0.582828	.209680	100	.582828
.417172	-.209680	100	.417172
0.582828	.209639	108	.582828
.417172	-.209639	108	.417172
0.582828	.209225	600	.582828
.417172	-.209225	600	.417172
0.582828	.209219	638	.582828
.417172	-.209219	638	.417172
0.582828	.209188	1000	.582828
.417172	-.209188	1000	.417172
0.582828	.209176	1277	.582828
.417172	-.209176	1277	.417172
0.582828	.209143	6000	.582828
.417172	-.209143	6000	.417172
0.582828	.209142	6368	.582828
.417172	-.209142	6368	.417172
0.582828	.209139	10000	.582828
.417172	-.209139	10000	.417172
0.582828	.209136	19834	.582828
.417172	-.209136	19834	.417172
0.582828	.209134	60000	.582828
.417172	-.209134	60000	.417172
0.582828	.209134	65353	.582828
.417172	-.209134	65353	.417172
0.6	.324920	1	.600000
.4	-.324920	1	.400000
0.6	.264835	6	.600000
.4	-.264835	6	.400000
0.6	.260185	10	.600000
.4	-.260185	10	.400000
0.6	.257347	17	.600000
.4	-.257347	17	.400000
0.6	.254473	60	.600000
.4	-.254473	60	.400000
0.6	.254371	66	.600000
.4	-.254371	66	.400000
0.6	.254022	100	.600000
.4	-.254022	100	.400000
0.6	.253730	176	.600000
.4	-.253730	176	.400000
0.6	.253459	600	.600000
.4	-.253459	600	.400000
0.6	.253447	678	.600000
.4	-.253447	678	.400000
0.6	.253415	1000	.600000
.4	-.253415	1000	.400000
0.6	.253384	1822	.600000
.4	-.253384	1822	.400000
0.6	.253358	6000	.600000
.4	-.253358	6000	.400000
0.6	.253358	6151	.600000
.4	-.253358	6151	.400000
0.6	.253354	10000	.600000
.4	-.253354	10000	.400000
0.6	.253351	16254	.600000
.4	-.253351	16254	.400000
0.6	.253348	60000	.600000
.4	-.253348	60000	.400000
0.6	.253348	63146	.600000
.4	-.253348	63146	.400000
0.62978	.431918	1	.629780
.37022	-.431918	1	.370220
0.62978	.346997	6	.629780
.37022	-.346997	6	.370220
0.62978	.340616	10	.629780
.37022	-.340616	10	.370220
0.62978	.338434	13	.629780
.37022	-.338434	13	.370220
0.62978	.332807	60	.629780
.37022	-.332807	60	.370220
0.62978	.332606	69	.629780
.37022	-.332606	69	.370220
0.62978	.332191	100	.629780
.37022	-.332191	100	.370220
0.62978	.331880	151	.629780
.37022	-.331880	151	.370220
0.62978	.331424	600	.629780
.37022	-.331424	600	.370220
0.62978	.331414	640	.629780
.37022	-.331414	640	.370220
0.62978	.331363	1000	.629780
.37022	-.331363	1000	.370220
0.62978	.331328	1606	.629780
.37022	-.331328	1606	.370220
0.62978	.331286	6000	.629780
.37022	-.331286	6000	.370220
0.62978	.331284	6785	.629780
.37022	-.331284	6785	.370220
0.62978	.331280	10000	.629780
.37022	-.331280	10000	.370220
0.62978	.331275	19315	.629780
.37022	-.331275	19315	.370220
0.62978	.331272	60000	.629780
.37022	-.331272	60000	.370220
0.62978	.331272	68699	.629780
.37022	-.331272	68699	.370220
0.7	.726543	1	.700000
.3	-.726543	1	.300000
0.7	.553381	6	.700000
.3	-.553381	6	.300000
0.7	.541528	10	.700000
.3	-.541528	10	.300000
0.7	.533816	18	.700000
.3	-.533816	18	.300000
0.7	.527198	60	.700000
.3	-.527198	60	.300000
0.7	.526943	66	.700000
.3	-.526943	66	.300000
0.7	.526076	100	.700000
.3	-.526076	100	.300000
0.7	.525357	175	.700000
.3	-.525357	175	.300000
0.7	.524679	600	.700000
.3	-.524679	600	.300000
0.7	.524655	658	.700000
.3	-.524655	658	.300000
0.7	.524568	1000	.700000
.3	-.524568	1000	.300000
0.7	.524521	1389	.700000
